Marker		Position  Trait1                  Trait2                  Trait3
rs12061931      9.5805    -0.299151408951730       0.341655568219721       -0.160195837495849     
rs351606        11.3778   -0.353272166026439       0.408086586021337       -0.177906714643989     
rs239770        11.8932   -0.396624138059052       0.457449300467577       -0.0383978623667658    
rs3128687       13.4003   -0.205716595105541       0.503732575933515       -0.0685318728426191    
rs17026985      16.1332   -0.475162682483751       0.531986999724494       -0.063502740607031     
rs161803        18.8618   -0.476684634135601       0.573121248638849       -0.0314181438659234    
rs12123076      20.3395   -0.37519123907301        0.469090296192052       0.109816895002627      
rs12083800      21.7839   -0.290480206166057       0.500031622924806       0.306158963503527      
rs6667663       23.3603   -0.26459852998291        0.430311329079321       0.272910292565815      
rs1281018       23.5178   -0.180057656603626       0.541946439720189       0.464655932190555      
rs6679504       34.0197   -0.239771593133061       0.593210914464938       0.437992139542987      
rs12058929      35.6242   -0.108511591140200       0.821883430811521       0.436317407356407      
rs11260740      36.8395   -0.0711903756274258      0.753888910560079       0.362187628840622      
rs17352309      42.5286   -0.0437328662128699      0.653764153576152       0.303428280229045      
rs9426750       46.4666   0.0731154116336378       0.524008962405812       0.362368487435441      
rs1874794       47.0222   0.0488273724893134       0.664848709726073       0.308576446261828      
rs2445137       47.3281   -0.0984815593159296      0.576703099694292       0.213875962478894      
rs7542174       51.0125   -0.115310939923532       0.556835297349536       0.118461536873088      
rs9725821       51.1991   -0.0244397582227768      0.40180926305335        0.0624244487582548     
rs4526561       51.4181   -0.0369687080324681      0.421160180642585       0.096451759432619      
rs17162676      54.23     0.0132847346267160       0.491785377977593       0.067495140544487      
rs6696009       56.5295   0.182972062720216        0.514531787672883       0.144519077360471      
rs7524405       60.1044   0.0549028026665959       0.483379474622502       0.136383793662431      
rs479056        61.7744   0.152470513944804        0.498655664049491       0.200449325990469      
rs10915010      62.984    0.0949725300851236       0.616131923861918       0.168907958538369      
rs2995223       64.4997   0.170474420897079        0.661937237307324       0.237743033790444      
rs16823042      64.6839   0.254914725075242        0.615421907297173       0.355134543599717      
rs4233207       64.7451   0.149216574376740        0.68523980487855        0.48971650236124       
rs517347        65.1764   0.243199633764822        0.736530636125732       0.448865903042827      
rs4653263       65.8553   0.433208294708769        0.905237050694652       0.57189631528142       
rs11803367      66.9118   0.376991878286164        0.869169102489293       0.508072919948117      
rs7543360       68.0087   0.334039768815128        1.00562047901894        0.502164791695741      
rs2798795       68.3605   0.665304636996427        0.930889918227666       0.454033081027756      
rs1340214       77.6956   0.624085908126432        0.854084549196766       0.495689727894015      
rs11205439      77.8416   0.713822319753867        0.759128533361934       0.540512105949175      
rs319987        78.2631   0.693613252713834        0.87101200996615        0.509817841828105      
rs11800919      78.746    0.756970054018153        0.71723681752416        0.493661603238515      
rs3001778       79.1037   0.8776488072721          0.672486379582517       0.361779330538814      
rs12088520      79.9519   0.877550129142067        0.613957850997093       0.289798396277717      
rs11811484      80.4259   1.01095459791539         0.436423907397278       0.205736787888411      
rs2780293       85.1277   0.9819598298158          0.408233812766709       0.306747488991715      
rs11206892      85.4763   0.88303132680595         0.369237040627607       0.520856103065861      
rs6695286       87.6985   0.965199275166982        0.511218268836076       0.544143847613309      
rs6587796       88.0506   0.895384765291742        0.548556891673965       0.517533667519205      
rs2808822       88.0894   0.878753230163718        0.613466937154013       0.50674797317636       
rs12038856      89.7259   0.775411198687481        0.448472645591853       0.52945921669401       
rs6672586       90.06     0.862193854068257        0.534684194644623       0.499970785760792      
rs12745808      90.8503   0.819925702001971        0.585154256697698       0.521834372917141      
rs11572235      91.1255   0.794317250738117        0.663064961089831       0.476165316564852      
rs12091672      91.2508   0.963010596015787        0.823123463913765       0.477021726695822      
rs6657429       92.0109   0.990610881455917        0.611534782389351       0.432917291661087      
rs1927489       95.0725   0.930549237923501        0.757450377734891       0.401871402036152      
rs12089051      96.7694   0.74496222250888         0.620647268846865       0.380315032893646      
rs12023280      98.1941   0.754281668857084        0.565349321442952       0.324617745139689      
rs4511159       98.2765   0.83813417511851         0.598873816628306       0.324280168079951      
rs2503180       98.8827   0.810100755652444        0.436447863636873       0.355264089879406      
rs12067729      102.5007  0.878056887784114        0.605203514458796       0.257638039770368      
rs11799791      102.5588  0.85422046311073         0.510697030059189       0.165666695680956      
rs959456        104.1995  0.736486411538722        0.697714864368406       0.112529442398425      
rs1426178       104.3647  0.836388363919718        0.756441076691965       0.0360715654968828     
rs2200485       104.4425  0.841173687168543        0.840117631428403       0.199147138679474      
rs1775370       104.57    0.839152809796278        0.966034296972918       0.335125152490621      
rs1697229       104.9116  0.875264352513104        0.939617771956817       0.236613314910691      
rs11210274      104.928   1.03234518806821         1.07156771188459        0.200330890903793      
rs17095494      105.5004  1.00172700399786         1.06581455393976        0.152113243030606      
rs696702        105.5672  0.906330493346335        1.03423711975386        0.176469244159085      
rs1357330       107.7876  0.916632292657627        1.10641403201449        0.129701955935621      
rs6700362       108.9665  0.831729477448462        1.01278763698776        0.0818844320792821     
rs1195683       111.5905  0.918774282575579        0.901804215078594       0.127882600793437      
rs11163254      111.9728  0.942921579306637        0.942459745387528       0.202006748664603      
rs6605239       112.3388  0.810634815661045        0.942680249686205       0.263435079540788      
rs17131371      114.8661  0.949187262665174        0.960902902489987       0.292976459728114      
rs316641        114.9039  0.934618896025916        1.13280409729994        0.162832711332423      
rs6576752       115.7649  0.927543029228664        1.23660997193573        0.216678568813138      
rs639814        116.5969  0.99863394293944         1.28060373081787        0.433684147105604      
rs12074914      118.1472  1.04664898991517         1.28261912482752        0.689388974330551      
rs2130514       118.2215  1.06836265562499         1.20411917201076        0.627245143381754      
rs160089        118.2991  0.9472320719222          1.46847014030729        0.71839582093835       
rs6677358       118.6579  0.859182563156938        1.54854246294090        0.607826180060117      
rs786921        119.0981  0.803103648596292        1.62532275985848        0.634576395814446      
rs4233428       120.9919  0.865316376430072        1.60993735157541        0.688243111312953      
rs7542358       122.5177  0.833824758391263        1.78001702486581        0.842819911207716      
rs4147841       123.9164  0.698541783933429        1.87739297033338        0.85536133446778       
rs17114037      125.5062  0.703732562759303        1.90867851055642        0.671828372138749      
rs1434367       127.464   0.649734124702452        1.92345905861244        0.690664314044707      
rs17120467      128.3953  0.594831818118281        2.04266968682296        0.75107225509702       
rs7516193       129.2391  0.66548630928715         2.05703812969411        0.889905893942904      
rs11166489      129.3432  0.518461488473888        1.97432193128104        0.995615387259818      
rs12097815      130.0691  0.664434290939806        1.93994987281361        1.03105984334105       
rs11164193      130.2019  0.668691258338095        1.79474704567009        1.02574127685779       
rs1385126       130.5006  0.628542005267903        1.86079134005118        1.10255547442329       
rs10874536      130.9194  0.552821462465315        1.84334533996314        0.971615514514919      
rs579692        131.498   0.508400054295721        1.88655940091252        0.872226318332395      
rs1763360       131.5973  0.487459424076087        1.78056962432581        0.916484083484082      
rs6682242       131.79    0.692740950650937        1.84782390466362        0.921884401622261      
rs11184460      133.4353  0.638210153061121        1.91330559236962        0.92914153357069       
rs13373774      134.0508  0.52878163593146         1.81653640574338        0.709618811335048      
rs12023696      134.487   0.507538591551597        1.75591895731791        0.749274209511595      
rs17020144      136.0808  0.641661344644729        1.78239396974709        0.809368756983111      
rs11185248      136.2513  0.729763522638946        1.88218229167574        0.591890244863458      
