Marker		Position  Trait1                   Trait2                 Trait3
rs6705087       1.9447     -0.000928143970668316    -0.290327358758077      0.184394008480012      
rs934558        3.9825     0.0416164986119262       -0.330723537716224      0.198908795814008      
rs7419318       4.3944     0.0230932258128814       -0.236030700415307      0.204042358760089      
rs6714138       10.8153    0.0542012688231361       -0.191856545496555      0.355180717505816      
rs2709439       11.6996    -0.0199063077392641      -0.35174582227736       0.429031048821163      
rs12617725      11.7657    0.081922797466221        -0.355009769917411      0.583507538351623      
rs1461308       13.0869    -0.0125423709486382      -0.534565070934281      0.567029056137949      
rs13401485      13.7035    0.135495160352159        -0.448189722709236      0.704274842591194      
rs6753311       16.8915    0.159449115634413        -0.364087266364772      0.534214394897201      
rs13417294      22.3703    0.188208588172939        -0.357565088900474      0.659864717806403      
rs7602784       22.4116    0.35804002804321         -0.410994613188808      0.693567550282357      
rs1558630       24.1337    0.402798764184236        -0.375251793901455      0.674706004327072      
rs1728146       24.6346    0.541025931070509        -0.301966273632802      0.744921624532565      
rs7598990       26.6949    0.581782989388656        -0.0458401725798889     0.725230122716736      
rs6432198       27.1567    0.601062370485156        0.00225150731202636     0.644787294028537      
rs4669739       27.2436    0.629269827041737        -0.170740049023778      0.50261559010479       
rs2165218       28.4138    0.612723032452737        -0.0868946778374415     0.668839991503327      
rs4281879       30.8785    0.508370744743223        -0.0687518286833962     0.833652273322037      
rs12471601      34.4407    0.401028286058642        -0.133078068083862      0.887094454031065      
rs13031329      37.8141    0.305009422974297        -0.167424590939145      0.801738492409692      
rs2970940       37.9999    0.305602073318966        -0.153454528925449      0.83735387455385       
rs1350881       38.3815    0.178577664613991        -0.195692095286743      0.666224756996304      
rs11886781      38.4881    0.42517478583727         -0.080609047430544      0.725138469468648      
rs7590555       38.7088    0.48519205893399         0.0207217483482061      0.734694245630172      
rs13383201      39.8571    0.484970076299428        -0.00426863061958333    0.710402402835814      
rs907868        41.03      0.503935263069377        -0.209080142655306      0.56040032949032       
rs219509        43.0719    0.511378578144393        -0.00224357628325236    0.562115967306828      
rs17045252      45.3906    0.689964664695066        0.00917726243420959     0.527874060999994      
rs2551159       46.219     0.599709052190472        0.0146373717615781      0.419271627942963      
rs13411210      47.746     0.502865822751939        -0.0936112786953193     0.568416583675242      
rs6759548       48.067     0.597530442360346        -0.198821993613968      0.609187570032350      
rs4665413       48.8984    0.576530247614257        -0.403099969978858      0.575719099556519      
rs12468388      49.1124    0.482834015439741        -0.352122206526744      0.755382484295815      
rs2045885       49.3696    0.486395042505843        -0.378788152108441      0.717583998175813      
rs462878        54.4367    0.328214486299485        -0.440217494980564      0.637954627786813      
rs2161025       56.9069    0.0383282306887358       -0.279333333047886      0.572459176695709      
rs11694339      57.7221    0.187300131354047        -0.254072838766592      0.472348436251659      
rs280730        57.7732    0.222034196042976        -0.254330918768653      0.402622992167460      
rs6744821       58.0098    0.150057670507402        -0.330766624067247      0.241528004879071      
rs17017682      58.4449    0.304685304041551        -0.278173601870784      0.51180686738255       
rs11124514      59.1513    0.298354415812813        -0.332745301177135      0.506534344251215      
rs4608493       59.7418    0.297301103705506        -0.279405343257044      0.496326852375865      
rs10490661      59.7697    0.4157804610331          -0.387140490029256      0.351780267975843      
rs6748955       60.9452    0.484107566097876        -0.295225918632468      0.445285401380495      
rs13408006      61.289     0.380300479930522        -0.306285125616142      0.495972057549958      
rs5542  63.4194            0.277774633961454        -0.19683186807169       0.387578889925078      
rs17027787      64.4232    0.246019762959334        -0.235002987760829      0.466338124853599      
rs13432552      67.5629    0.282726301160681        -0.250208008452668      0.539504509167978      
rs6720518       67.7861    0.340876259365024        -0.0802671525511419     0.649571741961644      
rs186926        68.7724    0.494854856347514        -0.0672003547201138     0.716437617973335      
rs1085270       68.9353    0.421042586146515        -0.0476339795915199     0.762800349425242      
rs767492        69.1794    0.419022924493367        -0.0608833244296817     0.782332503353381      
rs7570458       69.3666    0.455514037156182        -0.0649877037331922     0.845093600527957      
rs7607411       70.8944    0.512693565911183        0.151879217542346       0.894698150299651      
rs10183901      74.6966    0.596158950053791        0.111252228797165       0.810930574452034      
rs12713034      74.9465    0.696064315099769        0.127654126269004       0.64012417802808       
rs2882306       75.2588    0.751736294161396        0.114330993148763       0.673524669983565      
rs10469914      75.6677    0.895327554118835        0.176885521277199       0.662408650556338      
rs7601070       75.7287    0.904680279970415        0.149543453895077       0.70683139440531       
rs11900164      75.9109    1.14612982795494         0.377244802932017       0.819193247011315      
rs7578198       76.0964    1.13845598549256         0.365210574327506       0.878315905194685      
rs17588882      76.1084    1.22590203301592         0.396653617442223       0.91202902808992       
rs7566210       76.4026    1.22028299153388         0.305478748285842       1.13454206503216       
rs2081375       76.6245    1.04734151448747         0.287420434177617       1.21513982287491       
rs17574300      77.1722    0.90373749937991         0.072794987256733       1.32614377426673       
rs6756435       77.4135    1.07842133405428         0.0417687807707440      1.38175108238958       
rs17044519      77.5087    1.2043130685627          -0.0330287581688907     1.56577300796457       
rs13417267      78.274     1.29884610328179         0.00860354214279603     1.54529842173232       
rs7563088       79.808     1.28586657732355         0.000400359966318979    1.44062996060781       
rs11888669      80.4768    1.29230518614095         -0.0134993450222629     1.46176419064087       
rs17049241      80.6126    1.29944772809013         -0.0344514811147102     1.64230631781715       
rs12618463      81.3344    1.23610329910172         -0.0797714929352922     1.76417822823104       
rs1861097       81.3782    1.17397206418383         -0.0383555416592907     1.63992330885177       
rs11887428      86.8549    1.17609681905506         -0.178968525866772      1.77070454117092       
rs12713575      88.1365    0.984057020261712        -0.210303496086772      1.87405033115995       
rs11682357      89.3086    0.978974282860592        -0.36112883174792       1.84484592512045       
rs4341973       91.0491    0.88029989471651         -0.355251493742250      1.70552473695328       
rs17005504      91.8262    0.674038467581327        -0.354189604147038      1.77539709149668       
rs7570680       93.2184    0.750353402776325        -0.4536159542277        1.76413254385641       
rs4426551       93.5658    0.749678786621904        -0.581256922433637      2.05007600010377       
rs6761281       100.0688   0.80548154856555         -0.634954535349209      2.15823589884155       
rs1868923       104.0727   0.79082425971347         -0.674277820683955      2.16095413923427       
rs7574083       105.1871   0.827089325970384        -0.620373969760739      2.13946504054246       
rs11899683      105.3845   0.83691518545032         -0.482614135786416      2.23495972199217       
rs10194546      105.569    0.648261425968176        -0.458629320217723      2.29712146417779       
rs7607618       105.974    0.866851545011923        -0.51181182357579       2.28137759916199       
rs4432478       106.1756   0.911453973176122        -0.382532490025240      2.31428657997757       

